IES_ID;IES_ID_SNIESE;IES_NOMBRE_INSTIT;PRO_NOMBRE;CAN_NOMBRE;PRQ_NOMBRE;CAR_NOMBRE_CARRERA;AREA_NOMBRE;SUBAREA_NOMBRE;NIVEL;MODALIDAD;JORNADA;OFA_TITULO;OFA_ID;CUS_ID;CUS_CUPOS_NIVELACION;CUS_CUPOS_PRIMER_SEMESTRE;CUS_CUPOS_PC;CUS_TOTAL_CUPOS;DESCRIPCION_TIPO_CUPO;FOCALIZADA
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;Software;TECNOLOGIAS DE LA INFORMACION Y COMUNICACIÓN (TI);TECNOLOGIAS DE LA INFORMACION Y COMUNICACIÓN (TI);PRIMER NIVEL;PRESENCIAL;MATUTINA;;244939;349360;36;0;4;40;CUPOS_NIVELACIÓN;N
102;1016;UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;MANABÍ;MANTA;MANTA;Tecnologías de la información;TECNOLOGIAS DE LA INFORMACION Y COMUNICACIÓN (TI);TECNOLOGIAS DE LA INFORMACION Y COMUNICACIÓN (TI);PRIMER NIVEL;PRESENCIAL;NOCTURNA;;244941;349419;36;0;4;40;CUPOS_NIVELACIÓN;N
